 Embeddings Trainable: True 

 --- 2 ---,  Epoch: 17, Average train loss: 1.493497, Train accuracy: 0.514558, Valid accuracy: 0.267913, Test accuracy: 0.259548
 --- 2 ---,  Epoch: 18, Average train loss: 1.483310, Train accuracy: 0.525855, Valid accuracy: 0.268692, Test accuracy: 0.261107
 --- 2 ---,  Epoch: 19, Average train loss: 1.467960, Train accuracy: 0.535300, Valid accuracy: 0.271028, Test accuracy: 0.268901
 --- 2 ---,  Epoch: 20, Average train loss: 1.461473, Train accuracy: 0.544259, Valid accuracy: 0.267913, Test accuracy: 0.266563
 --- 2 ---,  Epoch: 21, Average train loss: 1.442975, Train accuracy: 0.555069, Valid accuracy: 0.271807, Test accuracy: 0.269680
 --- 2 ---,  Epoch: 22, Average train loss: 1.429976, Train accuracy: 0.563541, Valid accuracy: 0.273364, Test accuracy: 0.264224
 --- 2 ---,  Epoch: 23, Average train loss: 1.422288, Train accuracy: 0.573766, Valid accuracy: 0.274143, Test accuracy: 0.264224
 --- 2 ---,  Epoch: 24, Average train loss: 1.409361, Train accuracy: 0.578537, Valid accuracy: 0.274143, Test accuracy: 0.264224
 --- 2 ---,  Epoch: 25, Average train loss: 1.400349, Train accuracy: 0.586425, Valid accuracy: 0.273364, Test accuracy: 0.262666
 --- 2 ---,  Epoch: 26, Average train loss: 1.385672, Train accuracy: 0.593047, Valid accuracy: 0.274143, Test accuracy: 0.263445
 --- 2 ---,  Epoch: 27, Average train loss: 1.374489, Train accuracy: 0.601032, Valid accuracy: 0.274922, Test accuracy: 0.258768
 --- 2 ---,  Epoch: 28, Average train loss: 1.359216, Train accuracy: 0.609796, Valid accuracy: 0.272586, Test accuracy: 0.261107
 --- 2 ---,  Epoch: 29, Average train loss: 1.351491, Train accuracy: 0.615639, Valid accuracy: 0.268692, Test accuracy: 0.262666
 --- 3 ---,  Epoch 0, Average train loss: 1.77857, Train accuracy: 0.27120, Valid accuracy: 0.24688, Test accuracy: 0.23617
 --- 3 ---,  Epoch 1, Average train loss: 1.73884, Train accuracy: 0.29029, Valid accuracy: 0.24143, Test accuracy: 0.24786
 --- 3 ---,  Epoch 2, Average train loss: 1.71473, Train accuracy: 0.31181, Valid accuracy: 0.25000, Test accuracy: 0.25175
 --- 3 ---,  Epoch 3, Average train loss: 1.69786, Train accuracy: 0.33178, Valid accuracy: 0.26324, Test accuracy: 0.25253
 --- 3 ---,  Epoch 4, Average train loss: 1.68273, Train accuracy: 0.34989, Valid accuracy: 0.26558, Test accuracy: 0.24786
 --- 3 ---,  Epoch 5, Average train loss: 1.66457, Train accuracy: 0.37180, Valid accuracy: 0.26480, Test accuracy: 0.25331
 --- 3 ---,  Epoch 6, Average train loss: 1.64468, Train accuracy: 0.38689, Valid accuracy: 0.26791, Test accuracy: 0.24786
 --- 3 ---,  Epoch 7, Average train loss: 1.62978, Train accuracy: 0.40150, Valid accuracy: 0.27882, Test accuracy: 0.25019
 --- 3 ---,  Epoch 8, Average train loss: 1.61665, Train accuracy: 0.41104, Valid accuracy: 0.27570, Test accuracy: 0.25331
 --- 3 ---,  Epoch 9, Average train loss: 1.60183, Train accuracy: 0.42857, Valid accuracy: 0.27570, Test accuracy: 0.26111
 --- 3 ---,  Epoch 10,  Average train loss: 1.58903, Train accuracy: 0.44717, Valid accuracy: 0.27804, Test accuracy: 0.26500
 --- 3 ---,  Epoch 11,  Average train loss: 1.57432, Train accuracy: 0.45769, Valid accuracy: 0.27336, Test accuracy: 0.26578
 --- 3 ---,  Epoch 12,  Average train loss: 1.55843, Train accuracy: 0.47113, Valid accuracy: 0.27103, Test accuracy: 0.26578
 --- 3 ---,  Epoch 13,  Average train loss: 1.54514, Train accuracy: 0.48135, Valid accuracy: 0.27804, Test accuracy: 0.26500
 --- 3 ---,  Epoch 14,  Average train loss: 1.53265, Train accuracy: 0.49206, Valid accuracy: 0.27960, Test accuracy: 0.26500
 --- 3 ---,  Epoch 15,  Average train loss: 1.51997, Train accuracy: 0.50365, Valid accuracy: 0.27804, Test accuracy: 0.26111
 --- 3 ---,  Epoch 16,  Average train loss: 1.50417, Train accuracy: 0.51134, Valid accuracy: 0.28505, Test accuracy: 0.26890
 --- 3 ---,  Epoch 17,  Average train loss: 1.49230, Train accuracy: 0.52303, Valid accuracy: 0.28271, Test accuracy: 0.27358
 --- 3 ---,  Epoch 18,  Average train loss: 1.48083, Train accuracy: 0.53199, Valid accuracy: 0.27648, Test accuracy: 0.27124
 --- 3 ---,  Epoch 19,  Average train loss: 1.46426, Train accuracy: 0.54085, Valid accuracy: 0.27336, Test accuracy: 0.26968
 --- 3 ---,  Epoch 20,  Average train loss: 1.45018, Train accuracy: 0.55020, Valid accuracy: 0.26947, Test accuracy: 0.26968
 --- 3 ---,  Epoch 21,  Average train loss: 1.44013, Train accuracy: 0.55692, Valid accuracy: 0.26869, Test accuracy: 0.27358
 --- 3 ---,  Epoch 22,  Average train loss: 1.42523, Train accuracy: 0.56520, Valid accuracy: 0.26947, Test accuracy: 0.26656
 --- 3 ---,  Epoch 23,  Average train loss: 1.40912, Train accuracy: 0.57766, Valid accuracy: 0.26558, Test accuracy: 0.26812
 --- 3 ---,  Epoch 24,  Average train loss: 1.39926, Train accuracy: 0.58282, Valid accuracy: 0.26558, Test accuracy: 0.27124
 --- 3 ---,  Epoch 25,  Average train loss: 1.38797, Train accuracy: 0.59052, Valid accuracy: 0.26012, Test accuracy: 0.27592
 --- 3 ---,  Epoch 26,  Average train loss: 1.37724, Train accuracy: 0.60045, Valid accuracy: 0.26012, Test accuracy: 0.27124
 --- 3 ---,  Epoch 27,  Average train loss: 1.36415, Train accuracy: 0.60873, Valid accuracy: 0.25545, Test accuracy: 0.26968
 --- 3 ---,  Epoch 28,  Average train loss: 1.35366, Train accuracy: 0.61739, Valid accuracy: 0.25701, Test accuracy: 0.27202
 --- 3 ---,  Epoch 29,  Average train loss: 1.33929, Train accuracy: 0.62479, Valid accuracy: 0.25935, Test accuracy: 0.27670
 --- 4 ---,  Epoch: 0, Average train loss: 1.772152, Train accuracy: 0.265946, Valid accuracy: 0.250000, Test accuracy: 0.233827
 --- 4 ---,  Epoch: 1, Average train loss: 1.735310, Train accuracy: 0.284156, Valid accuracy: 0.246885, Test accuracy: 0.244739
 --- 4 ---,  Epoch: 2, Average train loss: 1.712896, Train accuracy: 0.304022, Valid accuracy: 0.255452, Test accuracy: 0.250195
 --- 4 ---,  Epoch: 3, Average train loss: 1.695702, Train accuracy: 0.327880, Valid accuracy: 0.263240, Test accuracy: 0.248636
 --- 4 ---,  Epoch: 4, Average train loss: 1.678060, Train accuracy: 0.342000, Valid accuracy: 0.260125, Test accuracy: 0.254871
 --- 4 ---,  Epoch: 5, Average train loss: 1.662809, Train accuracy: 0.358652, Valid accuracy: 0.265576, Test accuracy: 0.257210
 --- 4 ---,  Epoch: 6, Average train loss: 1.648610, Train accuracy: 0.376181, Valid accuracy: 0.264019, Test accuracy: 0.258768
 --- 4 ---,  Epoch: 7, Average train loss: 1.631061, Train accuracy: 0.392833, Valid accuracy: 0.267134, Test accuracy: 0.261886
 --- 4 ---,  Epoch: 8, Average train loss: 1.619887, Train accuracy: 0.411140, Valid accuracy: 0.268692, Test accuracy: 0.263445
 --- 4 ---,  Epoch: 9, Average train loss: 1.601226, Train accuracy: 0.428864, Valid accuracy: 0.271028, Test accuracy: 0.261107
 --- 4 ---,  Epoch: 10, Average train loss: 1.587920, Train accuracy: 0.438212, Valid accuracy: 0.268692, Test accuracy: 0.268122
 --- 4 ---,  Epoch: 11, Average train loss: 1.573158, Train accuracy: 0.451456, Valid accuracy: 0.264019, Test accuracy: 0.265783
 --- 4 ---,  Epoch: 12, Average train loss: 1.563011, Train accuracy: 0.464505, Valid accuracy: 0.268692, Test accuracy: 0.265783
 --- 4 ---,  Epoch: 13, Average train loss: 1.545783, Train accuracy: 0.472977, Valid accuracy: 0.267134, Test accuracy: 0.268122
 --- 4 ---,  Epoch: 14, Average train loss: 1.532832, Train accuracy: 0.485734, Valid accuracy: 0.269470, Test accuracy: 0.268122
 --- 4 ---,  Epoch: 15, Average train loss: 1.517773, Train accuracy: 0.500438, Valid accuracy: 0.263240, Test accuracy: 0.270460
 --- 4 ---,  Epoch: 16, Average train loss: 1.505838, Train accuracy: 0.505599, Valid accuracy: 0.267134, Test accuracy: 0.272019
 --- 4 ---,  Epoch: 17, Average train loss: 1.493287, Train accuracy: 0.517869, Valid accuracy: 0.264798, Test accuracy: 0.274357
 --- 4 ---,  Epoch: 18, Average train loss: 1.482837, Train accuracy: 0.527315, Valid accuracy: 0.264019, Test accuracy: 0.271239
 --- 4 ---,  Epoch: 19, Average train loss: 1.464864, Train accuracy: 0.536469, Valid accuracy: 0.268692, Test accuracy: 0.273578
 --- 4 ---,  Epoch: 20, Average train loss: 1.454518, Train accuracy: 0.544162, Valid accuracy: 0.264798, Test accuracy: 0.273578
 --- 4 ---,  Epoch: 21, Average train loss: 1.443383, Train accuracy: 0.553024, Valid accuracy: 0.269470, Test accuracy: 0.277475
 --- 4 ---,  Epoch: 22, Average train loss: 1.430748, Train accuracy: 0.562859, Valid accuracy: 0.268692, Test accuracy: 0.275916
 --- 4 ---,  Epoch: 23, Average train loss: 1.415188, Train accuracy: 0.573181, Valid accuracy: 0.266355, Test accuracy: 0.272798
 --- 4 ---,  Epoch: 24, Average train loss: 1.406572, Train accuracy: 0.582238, Valid accuracy: 0.267134, Test accuracy: 0.276695
 --- 4 ---,  Epoch: 25, Average train loss: 1.391453, Train accuracy: 0.588081, Valid accuracy: 0.265576, Test accuracy: 0.268901
 --- 4 ---,  Epoch: 26, Average train loss: 1.376333, Train accuracy: 0.598111, Valid accuracy: 0.260903, Test accuracy: 0.274357
 --- 4 ---,  Epoch: 27, Average train loss: 1.363029, Train accuracy: 0.602688, Valid accuracy: 0.263240, Test accuracy: 0.274357
 --- 4 ---,  Epoch: 28, Average train loss: 1.357440, Train accuracy: 0.609407, Valid accuracy: 0.262461, Test accuracy: 0.275136
 --- 4 ---,  Epoch: 29, Average train loss: 1.346211, Train accuracy: 0.616710, Valid accuracy: 0.260125, Test accuracy: 0.274357
 --- 5 ---,  Epoch: 0, Average train loss: 1.780593, Train accuracy: 0.260298, Valid accuracy: 0.229751, Test accuracy: 0.222136
 --- 5 ---,  Epoch: 1, Average train loss: 1.738620, Train accuracy: 0.283864, Valid accuracy: 0.246885, Test accuracy: 0.247077
 --- 5 ---,  Epoch: 2, Average train loss: 1.717235, Train accuracy: 0.303730, Valid accuracy: 0.259346, Test accuracy: 0.243959
 --- 5 ---,  Epoch: 3, Average train loss: 1.701255, Train accuracy: 0.325251, Valid accuracy: 0.257009, Test accuracy: 0.250974
 --- 5 ---,  Epoch: 4, Average train loss: 1.683280, Train accuracy: 0.344532, Valid accuracy: 0.259346, Test accuracy: 0.251754
 --- 5 ---,  Epoch: 5, Average train loss: 1.666354, Train accuracy: 0.361671, Valid accuracy: 0.260125, Test accuracy: 0.253313
 --- 5 ---,  Epoch: 6, Average train loss: 1.654639, Train accuracy: 0.378421, Valid accuracy: 0.264019, Test accuracy: 0.253313
 --- 5 ---,  Epoch: 7, Average train loss: 1.639222, Train accuracy: 0.394780, Valid accuracy: 0.260125, Test accuracy: 0.257989
 --- 5 ---,  Epoch: 8, Average train loss: 1.623517, Train accuracy: 0.404811, Valid accuracy: 0.263240, Test accuracy: 0.260327
 --- 5 ---,  Epoch: 9, Average train loss: 1.609200, Train accuracy: 0.421171, Valid accuracy: 0.266355, Test accuracy: 0.257989
 --- 5 ---,  Epoch: 10, Average train loss: 1.594368, Train accuracy: 0.431785, Valid accuracy: 0.267134, Test accuracy: 0.268901
 --- 5 ---,  Epoch: 11, Average train loss: 1.577550, Train accuracy: 0.442789, Valid accuracy: 0.264019, Test accuracy: 0.268122
