 RNN: 32 LSTM

 --- 64 ---, Experiment: 0,  Epoch: 2, Average train loss: 1.742811, Train accuracy: 0.244133, Valid accuracy: 0.230530, Test accuracy: 0.230709
 --- 64 ---, Experiment: 0,  Epoch: 3, Average train loss: 1.731409, Train accuracy: 0.250560, Valid accuracy: 0.235981, Test accuracy: 0.228371
 --- 64 ---, Experiment: 0,  Epoch: 4, Average train loss: 1.722393, Train accuracy: 0.257474, Valid accuracy: 0.242212, Test accuracy: 0.230709
 --- 64 ---, Experiment: 0,  Epoch: 5, Average train loss: 1.714509, Train accuracy: 0.265362, Valid accuracy: 0.239097, Test accuracy: 0.241621
 --- 64 ---, Experiment: 0,  Epoch: 6, Average train loss: 1.706927, Train accuracy: 0.273152, Valid accuracy: 0.235981, Test accuracy: 0.244739
 --- 64 ---, Experiment: 0,  Epoch: 7, Average train loss: 1.699284, Train accuracy: 0.281624, Valid accuracy: 0.246885, Test accuracy: 0.245518
 --- 64 ---, Experiment: 0,  Epoch: 8, Average train loss: 1.691455, Train accuracy: 0.289123, Valid accuracy: 0.250779, Test accuracy: 0.241621
 --- 64 ---, Experiment: 0,  Epoch: 9, Average train loss: 1.683465, Train accuracy: 0.294868, Valid accuracy: 0.253115, Test accuracy: 0.251754
 --- 64 ---, Experiment: 0,  Epoch: 10, Average train loss: 1.675413, Train accuracy: 0.299834, Valid accuracy: 0.249221, Test accuracy: 0.254871
 --- 64 ---, Experiment: 0,  Epoch: 11, Average train loss: 1.667431, Train accuracy: 0.306262, Valid accuracy: 0.249221, Test accuracy: 0.257989
 --- 64 ---, Experiment: 0,  Epoch: 12, Average train loss: 1.659608, Train accuracy: 0.313468, Valid accuracy: 0.250000, Test accuracy: 0.263445
 --- 64 ---, Experiment: 0,  Epoch: 13, Average train loss: 1.651946, Train accuracy: 0.317558, Valid accuracy: 0.253894, Test accuracy: 0.268901
 --- 64 ---, Experiment: 0,  Epoch: 14, Average train loss: 1.644395, Train accuracy: 0.322135, Valid accuracy: 0.256231, Test accuracy: 0.261886
 --- 64 ---, Experiment: 0,  Epoch: 15, Average train loss: 1.636897, Train accuracy: 0.325251, Valid accuracy: 0.257009, Test accuracy: 0.265783
 --- 64 ---, Experiment: 0,  Epoch: 16, Average train loss: 1.629393, Train accuracy: 0.332067, Valid accuracy: 0.250000, Test accuracy: 0.264224
 --- 64 ---, Experiment: 0,  Epoch: 17, Average train loss: 1.621831, Train accuracy: 0.336839, Valid accuracy: 0.249221, Test accuracy: 0.263445
 --- 64 ---, Experiment: 0,  Epoch: 18, Average train loss: 1.614191, Train accuracy: 0.341903, Valid accuracy: 0.250000, Test accuracy: 0.266563
 --- 64 ---, Experiment: 0,  Epoch: 19, Average train loss: 1.606470, Train accuracy: 0.347356, Valid accuracy: 0.250000, Test accuracy: 0.260327
 --- 64 ---, Experiment: 0,  Epoch: 20, Average train loss: 1.598625, Train accuracy: 0.355147, Valid accuracy: 0.247664, Test accuracy: 0.258768
 --- 64 ---, Experiment: 0,  Epoch: 21, Average train loss: 1.590615, Train accuracy: 0.358165, Valid accuracy: 0.250779, Test accuracy: 0.253313
 --- 64 ---, Experiment: 0,  Epoch: 22, Average train loss: 1.582491, Train accuracy: 0.364885, Valid accuracy: 0.252336, Test accuracy: 0.256430
