 Embeddings: glove_100d_6b

 --- glove_100d_6b ---, Experiment: 4,  Epoch: 3, Average train loss: 1.731154, Train accuracy: 0.276074, Valid accuracy: 0.244548, Test accuracy: 0.240062
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 4, Average train loss: 1.723444, Train accuracy: 0.289902, Valid accuracy: 0.245327, Test accuracy: 0.239283
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 5, Average train loss: 1.712072, Train accuracy: 0.299445, Valid accuracy: 0.253115, Test accuracy: 0.239283
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 6, Average train loss: 1.705736, Train accuracy: 0.306748, Valid accuracy: 0.253115, Test accuracy: 0.241621
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 7, Average train loss: 1.699595, Train accuracy: 0.316194, Valid accuracy: 0.252336, Test accuracy: 0.242401
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 8, Average train loss: 1.691160, Train accuracy: 0.325348, Valid accuracy: 0.249221, Test accuracy: 0.250195
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 9, Average train loss: 1.686285, Train accuracy: 0.329925, Valid accuracy: 0.253115, Test accuracy: 0.250195
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 10, Average train loss: 1.678532, Train accuracy: 0.337910, Valid accuracy: 0.253894, Test accuracy: 0.251754
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 11, Average train loss: 1.671674, Train accuracy: 0.344240, Valid accuracy: 0.253894, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 12, Average train loss: 1.664520, Train accuracy: 0.351251, Valid accuracy: 0.263240, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 13, Average train loss: 1.657698, Train accuracy: 0.357094, Valid accuracy: 0.263240, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 14, Average train loss: 1.651497, Train accuracy: 0.364398, Valid accuracy: 0.269470, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 15, Average train loss: 1.647771, Train accuracy: 0.369267, Valid accuracy: 0.263240, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 16, Average train loss: 1.643268, Train accuracy: 0.373844, Valid accuracy: 0.265576, Test accuracy: 0.257210
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 17, Average train loss: 1.636831, Train accuracy: 0.379005, Valid accuracy: 0.268692, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 18, Average train loss: 1.628630, Train accuracy: 0.384750, Valid accuracy: 0.270249, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 19, Average train loss: 1.626972, Train accuracy: 0.390009, Valid accuracy: 0.271028, Test accuracy: 0.256430
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 20, Average train loss: 1.618179, Train accuracy: 0.394099, Valid accuracy: 0.270249, Test accuracy: 0.265004
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 21, Average train loss: 1.614744, Train accuracy: 0.398383, Valid accuracy: 0.267913, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 22, Average train loss: 1.609468, Train accuracy: 0.403642, Valid accuracy: 0.260903, Test accuracy: 0.261886
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 23, Average train loss: 1.603537, Train accuracy: 0.408901, Valid accuracy: 0.260903, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 24, Average train loss: 1.600105, Train accuracy: 0.411238, Valid accuracy: 0.259346, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 25, Average train loss: 1.593315, Train accuracy: 0.415328, Valid accuracy: 0.258567, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 26, Average train loss: 1.588499, Train accuracy: 0.420002, Valid accuracy: 0.260125, Test accuracy: 0.262666
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 27, Average train loss: 1.585315, Train accuracy: 0.426040, Valid accuracy: 0.263240, Test accuracy: 0.264224
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 28, Average train loss: 1.581602, Train accuracy: 0.430227, Valid accuracy: 0.264019, Test accuracy: 0.267342
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 29, Average train loss: 1.573657, Train accuracy: 0.433927, Valid accuracy: 0.264019, Test accuracy: 0.262666
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 0, Average train loss: 1.778929, Train accuracy: 0.251047, Valid accuracy: 0.241433, Test accuracy: 0.227592
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 1, Average train loss: 1.750258, Train accuracy: 0.270426, Valid accuracy: 0.253894, Test accuracy: 0.239283
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 2, Average train loss: 1.740395, Train accuracy: 0.284059, Valid accuracy: 0.255452, Test accuracy: 0.244739
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 3, Average train loss: 1.729029, Train accuracy: 0.292823, Valid accuracy: 0.253894, Test accuracy: 0.244739
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 4, Average train loss: 1.719727, Train accuracy: 0.300613, Valid accuracy: 0.256231, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 5, Average train loss: 1.711403, Train accuracy: 0.309475, Valid accuracy: 0.258567, Test accuracy: 0.257989
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 6, Average train loss: 1.701853, Train accuracy: 0.314928, Valid accuracy: 0.260903, Test accuracy: 0.254871
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 7, Average train loss: 1.697615, Train accuracy: 0.319408, Valid accuracy: 0.258567, Test accuracy: 0.252533
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 8, Average train loss: 1.689241, Train accuracy: 0.325640, Valid accuracy: 0.260903, Test accuracy: 0.250974
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 9, Average train loss: 1.681938, Train accuracy: 0.331288, Valid accuracy: 0.265576, Test accuracy: 0.243959
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 10, Average train loss: 1.676289, Train accuracy: 0.339468, Valid accuracy: 0.263240, Test accuracy: 0.246298
 --- glove_100d_6b ---, Experiment: 5,  Epoch: 11, Average train loss: 1.668573, Train accuracy: 0.344629, Valid accuracy: 0.266355, Test accuracy: 0.249415
