 CRNN

 --- Experiment: 3,  Epoch: 9, Average train loss: 1.620194, Train accuracy: 0.347940, Valid accuracy: 0.245327, Test accuracy: 0.274357
 --- Experiment: 3,  Epoch: 10, Average train loss: 1.604032, Train accuracy: 0.362937, Valid accuracy: 0.246885, Test accuracy: 0.271239
 --- Experiment: 3,  Epoch: 11, Average train loss: 1.588350, Train accuracy: 0.373162, Valid accuracy: 0.241433, Test accuracy: 0.266563
 --- Experiment: 3,  Epoch: 12, Average train loss: 1.572056, Train accuracy: 0.387477, Valid accuracy: 0.240654, Test accuracy: 0.269680
 --- Experiment: 3,  Epoch: 13, Average train loss: 1.551981, Train accuracy: 0.397312, Valid accuracy: 0.240654, Test accuracy: 0.265783
 --- Experiment: 3,  Epoch: 14, Average train loss: 1.537129, Train accuracy: 0.412114, Valid accuracy: 0.239097, Test accuracy: 0.263445
 --- Experiment: 3,  Epoch: 15, Average train loss: 1.516101, Train accuracy: 0.426624, Valid accuracy: 0.239097, Test accuracy: 0.261886
 --- Experiment: 3,  Epoch: 16, Average train loss: 1.494732, Train accuracy: 0.441231, Valid accuracy: 0.239097, Test accuracy: 0.254092
 --- Experiment: 3,  Epoch: 17, Average train loss: 1.471919, Train accuracy: 0.454183, Valid accuracy: 0.244548, Test accuracy: 0.250974
 --- Experiment: 3,  Epoch: 18, Average train loss: 1.448569, Train accuracy: 0.469179, Valid accuracy: 0.246885, Test accuracy: 0.256430
 --- Experiment: 3,  Epoch: 19, Average train loss: 1.427025, Train accuracy: 0.475898, Valid accuracy: 0.246106, Test accuracy: 0.240062
 --- Experiment: 3,  Epoch: 20, Average train loss: 1.405825, Train accuracy: 0.490408, Valid accuracy: 0.242991, Test accuracy: 0.256430
 --- Experiment: 3,  Epoch: 21, Average train loss: 1.383536, Train accuracy: 0.501412, Valid accuracy: 0.250000, Test accuracy: 0.254871
 --- Experiment: 3,  Epoch: 22, Average train loss: 1.357274, Train accuracy: 0.513682, Valid accuracy: 0.254673, Test accuracy: 0.257989
 --- Experiment: 3,  Epoch: 23, Average train loss: 1.337492, Train accuracy: 0.529165, Valid accuracy: 0.251558, Test accuracy: 0.258768
 --- Experiment: 3,  Epoch: 24, Average train loss: 1.314058, Train accuracy: 0.536664, Valid accuracy: 0.245327, Test accuracy: 0.255651
 --- Experiment: 3,  Epoch: 25, Average train loss: 1.299532, Train accuracy: 0.550784, Valid accuracy: 0.239875, Test accuracy: 0.254871
 --- Experiment: 3,  Epoch: 26, Average train loss: 1.276509, Train accuracy: 0.557406, Valid accuracy: 0.255452, Test accuracy: 0.261107
 --- Experiment: 3,  Epoch: 27, Average train loss: 1.255224, Train accuracy: 0.553511, Valid accuracy: 0.235981, Test accuracy: 0.247857
 --- Experiment: 3,  Epoch: 28, Average train loss: 1.236399, Train accuracy: 0.583017, Valid accuracy: 0.248442, Test accuracy: 0.268122
 --- Experiment: 3,  Epoch: 29, Average train loss: 1.210118, Train accuracy: 0.579316, Valid accuracy: 0.235202, Test accuracy: 0.248636
 --- Experiment: 4,  Epoch: 0, Average train loss: 1.762835, Train accuracy: 0.250560, Valid accuracy: 0.232866, Test accuracy: 0.216680
 --- Experiment: 4,  Epoch: 1, Average train loss: 1.733595, Train accuracy: 0.265751, Valid accuracy: 0.247664, Test accuracy: 0.247077
 --- Experiment: 4,  Epoch: 2, Average train loss: 1.713779, Train accuracy: 0.278313, Valid accuracy: 0.247664, Test accuracy: 0.255651
 --- Experiment: 4,  Epoch: 3, Average train loss: 1.698636, Train accuracy: 0.288538, Valid accuracy: 0.253894, Test accuracy: 0.253313
 --- Experiment: 4,  Epoch: 4, Average train loss: 1.683944, Train accuracy: 0.298179, Valid accuracy: 0.259346, Test accuracy: 0.265004
 --- Experiment: 4,  Epoch: 5, Average train loss: 1.672203, Train accuracy: 0.309670, Valid accuracy: 0.265576, Test accuracy: 0.267342
 --- Experiment: 4,  Epoch: 6, Average train loss: 1.659036, Train accuracy: 0.317850, Valid accuracy: 0.261682, Test accuracy: 0.270460
 --- Experiment: 4,  Epoch: 7, Average train loss: 1.646919, Train accuracy: 0.329243, Valid accuracy: 0.260125, Test accuracy: 0.271239
 --- Experiment: 4,  Epoch: 8, Average train loss: 1.632876, Train accuracy: 0.339663, Valid accuracy: 0.253894, Test accuracy: 0.265004
 --- Experiment: 4,  Epoch: 9, Average train loss: 1.618639, Train accuracy: 0.348135, Valid accuracy: 0.256231, Test accuracy: 0.260327
 --- Experiment: 4,  Epoch: 10, Average train loss: 1.603470, Train accuracy: 0.355731, Valid accuracy: 0.250000, Test accuracy: 0.248636
 --- Experiment: 4,  Epoch: 11, Average train loss: 1.591003, Train accuracy: 0.371506, Valid accuracy: 0.255452, Test accuracy: 0.254871
 --- Experiment: 4,  Epoch: 12, Average train loss: 1.572879, Train accuracy: 0.382705, Valid accuracy: 0.251558, Test accuracy: 0.254871
 --- Experiment: 4,  Epoch: 13, Average train loss: 1.553677, Train accuracy: 0.394975, Valid accuracy: 0.253894, Test accuracy: 0.250974
 --- Experiment: 4,  Epoch: 14, Average train loss: 1.535090, Train accuracy: 0.406271, Valid accuracy: 0.243769, Test accuracy: 0.250974
 --- Experiment: 4,  Epoch: 15, Average train loss: 1.517602, Train accuracy: 0.421950, Valid accuracy: 0.244548, Test accuracy: 0.254871
 --- Experiment: 4,  Epoch: 16, Average train loss: 1.495529, Train accuracy: 0.436264, Valid accuracy: 0.241433, Test accuracy: 0.247857
 --- Experiment: 4,  Epoch: 17, Average train loss: 1.475253, Train accuracy: 0.451651, Valid accuracy: 0.246106, Test accuracy: 0.239283
 --- Experiment: 4,  Epoch: 18, Average train loss: 1.455301, Train accuracy: 0.463628, Valid accuracy: 0.247664, Test accuracy: 0.243180
 --- Experiment: 4,  Epoch: 19, Average train loss: 1.435152, Train accuracy: 0.469569, Valid accuracy: 0.246106, Test accuracy: 0.240842
 --- Experiment: 4,  Epoch: 20, Average train loss: 1.416553, Train accuracy: 0.488363, Valid accuracy: 0.247664, Test accuracy: 0.247077
 --- Experiment: 4,  Epoch: 21, Average train loss: 1.391774, Train accuracy: 0.500633, Valid accuracy: 0.250000, Test accuracy: 0.250974
 --- Experiment: 4,  Epoch: 22, Average train loss: 1.376866, Train accuracy: 0.516896, Valid accuracy: 0.242212, Test accuracy: 0.246298
 --- Experiment: 4,  Epoch: 23, Average train loss: 1.351238, Train accuracy: 0.526244, Valid accuracy: 0.251558, Test accuracy: 0.249415
 --- Experiment: 4,  Epoch: 24, Average train loss: 1.332982, Train accuracy: 0.540949, Valid accuracy: 0.250000, Test accuracy: 0.250195
 --- Experiment: 4,  Epoch: 25, Average train loss: 1.318473, Train accuracy: 0.541338, Valid accuracy: 0.255452, Test accuracy: 0.248636
 --- Experiment: 4,  Epoch: 26, Average train loss: 1.289464, Train accuracy: 0.548739, Valid accuracy: 0.252336, Test accuracy: 0.247857
 --- Experiment: 4,  Epoch: 27, Average train loss: 1.273741, Train accuracy: 0.563638, Valid accuracy: 0.251558, Test accuracy: 0.247077
 --- Experiment: 4,  Epoch: 28, Average train loss: 1.256404, Train accuracy: 0.571818, Valid accuracy: 0.250000, Test accuracy: 0.247077
 --- Experiment: 4,  Epoch: 29, Average train loss: 1.230807, Train accuracy: 0.573960, Valid accuracy: 0.254673, Test accuracy: 0.250974
